"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"ISCA","International Speedway Corporation","30.37","841400850","1996","Consumer Services","Services-Misc. Amusement & Recreation","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ISCA&selected=ISCA",
"ICGE","Internet Capital Group, Inc.","13.21","489826800","1999","Consumer Services","Professional Services","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ICGE&selected=ICGE",
"IGLD","Internet Gold Golden Lines Ltd.","26.9","515457800","1999","Public Utilities","Telecommunications Equipment","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=IGLD&selected=IGLD",
"IIJI","Internet Initiative Japan, Inc.","8","660728000","n/a","Technology","Computer Software: Programming, Data Processing","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=IIJI&selected=IIJI",
"INPH","Interphase Corporation","4.41","29868930","1984","Technology","Computer Communications Equipment","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=INPH&selected=INPH",
"INTX","Intersections, Inc.","14.79","265140330","2004","Technology","EDP Services","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=INTX&selected=INTX",
"ISIL","Intersil Corporation","14.75","1841345750","1972","Technology","Semiconductors","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ISIL&selected=ISIL",
"IILG","Interval Leisure Group, Inc.","15.94","913011320","n/a","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=IILG&selected=IILG",
"IBCA","Intervest Bancshares Corp.","3.21","67814460","n/a","Finance","Major Banks","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=IBCA&selected=IBCA",
"INTT","inTest Corporation","3.78","39104100","1997","Capital Goods","Electrical Products","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=INTT&selected=INTT",
"IVAC","Intevac, Inc.","11.21","255150810","1985","Technology","Industrial Machinery/Components","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=IVAC&selected=IVAC",
"INTL","INTL FCStone Inc.","25.61","462388550","1981","Finance","Investment Bankers/Brokers/Service","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=INTL&selected=INTL",
"IIN","IntriCon Corporation","4.2499","23625194.1","n/a","Capital Goods","Electrical Products","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=IIN&selected=IIN",
"INTU","Intuit Inc.","54.55","16943830050","1993","Technology","Computer Software: Prepackaged Software","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=INTU&selected=INTU",
"ISRG","Intuitive Surgical, Inc.","345.4","13424661800","2000","Health Care","Industrial Specialties","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ISRG&selected=ISRG",
"SNAK","Inventure Foods, Inc.","4.3229","77937564.1","1996","Consumer Non-Durables","Packaged Foods","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=SNAK&selected=SNAK",
"ISBC","Investors Bancorp, Inc.","14.86","1676965860","n/a","Finance","Savings Institutions","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ISBC&selected=ISBC",
"IRET","Investors Real Estate Trust","9.3","744520800","n/a","Consumer Services","Real Estate Investment Trusts","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=IRET&selected=IRET",
"IRETP","Investors Real Estate Trust","26","29900000","n/a","Consumer Services","Real Estate Investment Trusts","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=IRETP&selected=IRETP",
"ITIC","Investors Title Company","34.78","79298400","n/a","Finance","Specialty Insurers","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ITIC&selected=ITIC",
"IPAS","iPass Inc.","1.33","76967100","2003","Technology","EDP Services","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=IPAS&selected=IPAS",
"IPCM","IPC The Hospitalist Company, Inc.","50.26","820393980","2008","Health Care","Hospital/Nursing Management","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=IPCM&selected=IPCM",
"IPGP","IPG Photonics Corporation","66.18","3124688700","2006","Technology","Semiconductors","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=IPGP&selected=IPGP",
"IRIX","IRIDEX Corporation","3.93","35024160","1996","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=IRIX&selected=IRIX",
"IRDM","Iridium Communications Inc","7.8","547981200","n/a","Consumer Durables","Telecommunications Equipment","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=IRDM&selected=IRDM",
"IRDMU","Iridium Communications Inc","10","178560000","n/a","Consumer Durables","Telecommunications Equipment","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=IRDMU&selected=IRDMU",
"IRDMW","Iridium Communications Inc","2.24","126560000","n/a","Consumer Durables","Telecommunications Equipment","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=IRDMW&selected=IRDMW",
"IRDMZ","Iridium Communications Inc","1.4","20116600","n/a","Consumer Durables","Telecommunications Equipment","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=IRDMZ&selected=IRDMZ",
"IRIS","IRIS International, Inc.","9.21","163956420","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=IRIS&selected=IRIS",
"IRBT","iRobot Corporation","32.47","845356450","2005","Consumer Durables","Consumer Electronics/Appliances","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=IRBT&selected=IRBT",
"IRWD","Ironwood Pharmaceuticals, Inc.","14.1","656496000","2010","Consumer Durables","Major Pharmaceuticals","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=IRWD&selected=IRWD",
"FCHI","iShares FTSE China (HK Listed) Index Fund","51.35","66755000","n/a","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=FCHI&selected=FCHI",
"IFSM","iShares FTSE Developed Small Cap ex-North America Index Fund","40.978","32782400","n/a","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=IFSM&selected=IFSM",
"IFAS","iShares FTSE EPRA/NAREIT Asia Index Fund","30.88","21616000","n/a","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=IFAS&selected=IFAS",
"IFEU","iShares FTSE EPRA/NAREIT Europe Index Fund","34.86","10458000","n/a","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=IFEU&selected=IFEU",
"IFGL","iShares FTSE EPRA/NAREIT Global Real Estate ex-U.S. Index Fund","32.24","348192000","n/a","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=IFGL&selected=IFGL",
"IFNA","iShares FTSE EPRA/NAREIT North America Index Fund","44.37","8874000","n/a","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=IFNA&selected=IFNA",
"SOXX","iShares Goldman Sachs Semiconductor Index Fund","59.47","315191000","n/a","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=SOXX&selected=SOXX",
"AXFN","iShares MSCI ACWI ex US Financials Sector Index Fund","26.08","2608000","n/a","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AXFN&selected=AXFN",
"ACWX","iShares MSCI ACWI ex US Index Fund","46.63","634168000","n/a","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ACWX&selected=ACWX",
"ACWI","iShares MSCI ACWI Index Fund","49.78","990622000","n/a","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ACWI&selected=ACWI",
"AAXJ","iShares MSCI All Country Asia ex Japan Index Fund","63.33","1424925000","n/a","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AAXJ&selected=AAXJ",
"EMFN","iShares MSCI Emerging Markets Financials Sector Index Fund","29.41","2941000","n/a","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=EMFN&selected=EMFN",
"EMMT","iShares MSCI Emerging Markets Materials Sector Index Fund","27.39","2739000","n/a","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=EMMT&selected=EMMT",
"EUFN","iShares MSCI Europe Financials Sector Index Fund","24.63","2463000","n/a","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=EUFN&selected=EUFN",
"FEFN","iShares MSCI Far East Financials Sector Index Fund","25.2","2520000","n/a","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=FEFN&selected=FEFN",
"IBB","iShares NASDAQ Biotechnology Index Fund","106.43","1984919500","n/a","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=IBB&selected=IBB",
"EMIF","iShares S&P Emerging Markets Infrastructure Index Fund","35.89","39479000","n/a","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=EMIF&selected=EMIF",
"ICLN","iShares S&P Global Clean Energy Index Fund","17.5482","66683160","n/a","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ICLN&selected=ICLN",
"NUCL","iShares S&P Global Nuclear Index Fund","42.256","16057280","n/a","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=NUCL&selected=NUCL",
"WOOD","iShares S&P Global Timber &Forestry Index Fund","48.39","59519700","n/a","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=WOOD&selected=WOOD",
"INDY","iShares S&P India Nifty 50 Index Fund","28","29400000","n/a","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=INDY&selected=INDY",
"ISHG","iShares S&P/Citigroup 1-3 Year International Treasury Bond Fund","110.84","133008000","n/a","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ISHG&selected=ISHG",
"IGOV","iShares S&P/Citigroup International Treasury Bond Fund","108.2","140660000","n/a","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=IGOV&selected=IGOV",
"ISIS","Isis Pharmaceuticals, Inc.","9.03","896055930","1991","Consumer Durables","Major Pharmaceuticals","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ISIS&selected=ISIS",
"ISLE","Isle of Capri Casinos, Inc.","9.13","348939470","n/a","Consumer Services","Hotels/Resorts","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ISLE&selected=ISLE",
"ISRL","Isramco, Inc.","63.2","171777600","1983","Energy","Oil & Gas Production","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ISRL&selected=ISRL",
"ISTA","ISTA Pharmaceuticals, Inc.","10.54","354470740","2000","Consumer Durables","Major Pharmaceuticals","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ISTA&selected=ISTA",
"ITRI","Itron, Inc.","53.61","2171687490","1993","Capital Goods","Electrical Products","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ITRI&selected=ITRI",
"ITRN","Ituran Location and Control Ltd.","15.6138","366533955","1984","Consumer Non-Durables","Electronic Components","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ITRN&selected=ITRN",
"IVAN","Ivanhoe Energy, Inc.","2.46","846072720","n/a","Energy","Oil & Gas Production","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=IVAN&selected=IVAN",
"XXIA","Ixia","15.94","1091332100","2000","Capital Goods","Electrical Products","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=XXIA&selected=XXIA",
"IXYS","IXYS Corporation","14.51","453437500","n/a","Technology","Semiconductors","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=IXYS&selected=IXYS",
"JJSF","J & J Snack Foods Corp.","50.43","936535530","1986","Consumer Non-Durables","Specialty Foods","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=JJSF&selected=JJSF",
"JAX","J. Alexander's Corporation","5.8","34579600","n/a","Consumer Services","Restaurants","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=JAX&selected=JAX",
"MAYS","J. W. Mays, Inc.","18.38","37054080","n/a","Consumer Services","Building operators","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=MAYS&selected=MAYS",
"JBHT","J.B. Hunt Transport Services, Inc.","46.52","5645155480","n/a","Transportation","Trucking Freight/Courier Services","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=JBHT&selected=JBHT",
"JCOM","j2 Global Communications Inc","28.65","1314576600","1999","Technology","Telecommunications Equipment","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=JCOM&selected=JCOM",
"JASO","JA Solar Holdings, Co., Ltd.","6.14","1049940000","2007","Technology","Semiconductors","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=JASO&selected=JASO",
"JCDA","Jacada Ltd.","3.3","13724700","n/a","Technology","Computer Software: Prepackaged Software","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=JCDA&selected=JCDA",
"JKHY","Jack Henry & Associates, Inc.","31.7","2731145200","1985","Technology","EDP Services","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=JKHY&selected=JKHY",
"JACK","Jack In The Box Inc.","20.04","1017330600","1996","Consumer Services","Restaurants","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=JACK&selected=JACK",
"JXSB","Jacksonville Bancorp Inc.","12.6222","24297735","n/a","Finance","Banks","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=JXSB&selected=JXSB",
"JAXB","Jacksonville Bancorp, Inc.","6.65","39161850","n/a","Finance","Major Banks","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=JAXB&selected=JAXB",
"JAKK","JAKKS Pacific, Inc.","20.27","547452160","1996","Consumer Non-Durables","Recreational Products/Toys","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=JAKK&selected=JAKK",
"JMBA","Jamba, Inc.","2.42","158611640","n/a","Consumer Services","Restaurants","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=JMBA&selected=JMBA",
"JRCC","James River Coal Company","22.99","638639210","n/a","Energy","Coal Mining","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=JRCC&selected=JRCC",
"JAZZ","Jazz Pharmaceuticals, Inc.","29.64","1153559160","2007","Consumer Durables","Major Pharmaceuticals","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=JAZZ&selected=JAZZ",
"JDAS","JDA Software Group, Inc.","32.7","1380561300","1996","Technology","EDP Services","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=JDAS&selected=JDAS",
"JDSU","JDS Uniphase Corporation","20","4484560000","n/a","Technology","Semiconductors","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=JDSU&selected=JDSU",
"JFBI","Jefferson Bancshares, Inc.","3.67","24350450","n/a","Finance","Savings Institutions","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=JFBI&selected=JFBI",
"JFBC","Jeffersonville Bancorp","10.8499","45949326.5","n/a","Finance","Major Banks","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=JFBC&selected=JFBC",
"JBLU","JetBlue Airways Corporation","5.9","1739042700","2002","Transportation","Air Freight/Delivery Services","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=JBLU&selected=JBLU",
"JCTCF","Jewett-Cameron Trading Company","9.69","19525350","n/a","Consumer Services","RETAIL: Building Materials","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=JCTCF&selected=JCTCF",
"JGBO","Jiangbo Pharmaceuticals, Inc.","4.27","58183020","n/a","Consumer Durables","Major Pharmaceuticals","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=JGBO&selected=JGBO",
"JNGW","Jingwei International Limited","2.9","58974400","n/a","Miscellaneous","Business Services","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=JNGW&selected=JNGW",
"JST","Jinpan International Limited","11.61","190694250","1998","Consumer Durables","Electrical Products","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=JST&selected=JST",
"JOEZ","Joe's Jeans Inc.","0.91","58641310","n/a","Consumer Non-Durables","Apparel","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=JOEZ&selected=JOEZ",
"JBSS","John B. Sanfilippo & Son, Inc.","9.74","78475180","1991","Consumer Non-Durables","Specialty Foods","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=JBSS&selected=JBSS",
"JOUT","Johnson Outdoors Inc.","16.03","136351180","n/a","Consumer Non-Durables","Recreational Products/Toys","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=JOUT&selected=JOUT",
"JSDA","Jones Soda Co.","1.21","38739360","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=JSDA&selected=JSDA",
