Symbol	Name
GTFR	GATEWAY FOR YOU
GZIT	GAZIT (PANAMA)
HAHO	HACHSH HAYISH HOTEL
HAML	HAM-LET
HARL	HAREL-HAMISH 1
HARL5	HAREL-HAMISH
HASI	HASSIN-ESCH CERAMIC
HASN	HASON PLASTIC AFULA
HBS-M	HABAS H.Z.INVEST
HELE	H ELECTRS 1988
HGII	H G I I MARKETING &
HLTC	HILAN TECH
HOD	HOD-METAL PRODS MAN
HOFI	HOFIT KIBBUTZ
HOME	HOME CENTERS (DIY)
HQS	HAZERA QUALITY
HRON1	HIRON TRADE INVT
HRON5	HIRON TRADE INV
HRSB	ABETRANS B
HUCN	HSG & CONSTR HLDG
IBIU	IBI UNDERWR INVESTM
IBLD	INDL BUILDING 1
IDBD	IDB DEVL -A-
IDBH	IDB BANKHOLD.CORP.
IDI	DIRECT IDI INS CO
IES	IES ELECTRS INDS
IFN	IFN SYSTEMS
IGLD	INTERNET GOLD
ILAN	ILAN GAT ENGINEERS
ILCO	THE ISRAEL CORP A
ILCO1	ISRAEL CORP S1
ILDC	ISR.LAND.DEV.CO.
ILDI	ISRAEL LAND DEVL IN
ILDM	ILD MALLS AND SHOP
ILDN	ILD INSURANCE CO
ILOM	ISRALOM 1
IMCO	IMCO INDUSTRIES
INBR	INBAR LEASE FINANCE
INCS	INTERCOSMA LTD
INDD-G	IDB 6% G
INDD-GG	IND DEV ISR6 CC GG
INDD-GG1	IND.DEV.BKISR.A GG1
INDD-P	INDL DEVL BAK ISR P
INOC	INOL
INSP	INSPIRE INVESTMENTS
INST	AZIMUTH
INTE1	INTERGAMA INV 1
INTE5	INTER-GAMA INV
IPRO	ISPRO ISR PROP RENT
ISAL	ISAL AMLAT INVT
ISCO	ISRACOLOR LAB
ISE	ISE CONSULTING DIR
ISRA	ISRAMCO
ISRO	ISROTEL
ISRP	ISRAELI PROCESSING
ISRS	ISRAS INVESTMENT CO
ISTA	ISSTA LINES
ISTAP	ISSTA LINES
ITL	ITL OPTRONICS
ITRN	ITURAN LOC & CONTRL
IVTC	INVENTECH INVTS
JAMI	JACK MITERANI
JBNK	BK JERUSALEM
JCDA	JACADA
JNHL	JEUNESSE HLDGS
JOEL	JOEL
JULX	JULEX
KADM	METAL WORKS KADM 1
KADU	KADOURI SIGNS
KAFR	KAFRIT INDUSTRIES
KDEM	KEDEM CHEMICALS
KDHI	KADURY & HAI
KDRN	KIDRON INDUST HLDGS
KETR	MAXW MCMILL KETER 1
KING	KING ENG BEARING 1
KINR	KINNERET VIEW HTL
KISH-M	LITO GROUP
KITN	KITAN
KLIL	KLIL INDUSTRIES
KLNT-M	KALANIT CARMON SOFT
KLRM	KALROM CAR ENG EQIP
KMDA	KAMADA LTD
KMNH	KAMAN HOLDINGS
KMOR	KAMOR
KNFM	KNAFAIM ARKIA HLD
KOOR	KOOR IND INS
KRDR	KARDAN REAL ESTATE
KRIS	KARDAN ISRAEL
KRML	MIFALLEY ETZE KARMI
KRNV	KARDAN NV
KRTC	KARDAN TECHNOLOGIES
LAMO	LAMONT
LAPD	LAPIDOTH ISR.OIL PR
